SampleID,SamDate,Lat,Lon,YearDug,WellAge,WellType,WellDepth,District,Thana,Arsenic,DEM,RAIN,GWD,SAND,LOAM,HCOND,USC,RCHG,RTRND,IRRIG
S99_07067,23/05/1999 00:00,24.9825,90.1307,1997,2,HTW,22.9,Sherpur,Nakla,3,17.23090241,2531.721696,7.963443813,2.008272263,51.02623521,24.37580701,13.31837316,187.5840872,2.990664487,8.054764394
S98_02747,12/03/1998 00:00,23.652,90.524,1997,1,STW,66,Narayanganj,Bandar,3,7.196954584,1983.469281,10.86887424,0.161495444,60.188859,18.6357487,20.29303502,154.6728746,2.858724968,2.177726497
S98_02568,31/03/1998 00:00,24.82,88.225,1988,10,Tara,39,Nawabganj,Bholahat,3,21.60883783,1386.448846,17.2992376,0.999934452,51,49.52300298,10.43243725,521.8721325,5.600589286,8.071733377
S98_02580,13/04/1998 00:00,24.368,89.237,1995,3,Tara,36,Natore,Gurudaspur,3,11.84417045,1750.86823,11.0213463,0.005146386,47.82830053,42.1237001,18.57007472,390.6885075,2.796455059,12.67781429
S98_02648,27/05/1998 00:00,24.831,92.044,1995,3,STW,38,Sylhet,Golapganj,3,18.65446662,3835.912276,5.123414956,6.126563042,54.04155248,10.46097965,13.34784813,83.74905187,0.085393822,-0.068983909
S98_04407,21/05/1998 00:00,22.212,91.83,1995,3,STW,46,Chittagong,Anowara,2,5.502679908,2959.666045,2.064495991,3.218242856,79.63740245,6.621246209,21.28971135,21.79888159,0.126218945,0.891746999
S98_03819,17/05/1998 00:00,23.547,89.538,1988,10,STW,52,Faridpur,Madhukhali,2,9.069560374,1690.621836,9.145473139,0.171241642,48.3202611,25.74638006,17.84695999,327.3372368,2.032372175,6.996126335
S99_04124,25/05/1999 00:00,24.7023,89.8904,1984,15,HTW,20.1,Tangail,Madhupur,2,17,2032.678706,7.228560523,5.721324297,76.43084107,35.29396673,15.53714352,344.4663447,2.282967846,7.257640627
S99_06049,18/05/1999 00:00,24.3874,90.551,1999,0,TARA,70.1,Mymensingh,Gafargaon,2,9.641106565,2223.727313,11.08338664,2.549169633,55.19319777,14.86286414,18.35283527,158.872823,2.166785295,6.202757583
S98_02891,27/05/1998 00:00,24.815,91.971,1994,4,STW,82,Sylhet,Golapganj,2,13.8516226,3762.666159,5.041166614,1.589302322,30.30831312,11.4411992,16.44601822,82.11920707,-0.010504184,-0.088125167
S99_07154,05/06/1999 00:00,24.5046,89.144,1992,7,TARA,31.7,Natore,Singra,2,11.26690086,1730.713005,10.06277217,0.000901519,16.46621089,47.63565216,18.3814427,366.368234,2.835701788,8.289729839
S99_06256,19/06/1999 00:00,26.0961,89.7069,1974,25,HTW,14.3,Kurigram,Bhurungamari,2,31.99920977,3137.860659,4.95035755,22.74872871,75.18005204,30.93683829,4.803822753,299.7645396,4.946430578,11.10263158
S99_06244,16/06/1999 00:00,25.9215,89.8235,1996,3,HTW,13.4,Kurigram,Nageshwari,2,26.47638445,2868.298646,5.212461574,26.27105682,72.92670355,32.15154027,4.942753682,349.2071726,5.429787933,8.267690537
S99_04097,21/05/1999 00:00,24.7673,90.2551,1996,3,DTW,147.8,Mymensingh,Muktagachha,2,17.56158192,2417.712093,9.562362359,3.54924324,59.84800067,19.52411458,16.70487984,215.069315,2.216238502,8.168038995
S98_02985,03/06/1998 00:00,24.064,91.18,1996,2,STW,61,Brahamanbaria,Sarail,2,7.67501477,2193.353197,5.955120996,0.136145242,79.41337626,14.67398631,12.46674113,70.96247198,0.781987851,5.847360005
S99_04044,15/05/1999 00:00,24.2032,90.9668,1990,9,TARA,76.8,Kishoreganj,Bajitpur,2,7.506463253,2267.595964,6.884752345,10.58322013,59.0712202,16.73864843,8.816165332,83.98340763,1.219789981,7.034448055
S99_07105,27/05/1999 00:00,25.0744,89.7733,1986,13,HTW,22.6,Jamalpur,Islampur,2,19.5574089,2162.737291,6.571052163,2.452520476,53.98877256,59.01664217,9.107964555,401.2727166,2.361068622,5.817972421
S98_03817,20/05/1998 00:00,23.83,89.41,1978,20,STW,39,Rajbari,Pangsha,2,11.08151948,1638.314468,8.729491117,1.735148404,53.1317843,28.66810688,24.18965457,538.3770049,2.38017981,6.392001047
S98_04378,21/05/1998 00:00,22.069,91.937,1996,2,Tara,38,Chittagong,Banshkhali,2,10.7632236,2992.026567,2.344392959,3.593417019,79.61459034,5.777264308,25.44680577,28.70554326,-0.176248207,0.657319449
S99_06167,03/06/1999 00:00,23.9829,90.6003,1998,1,TARA,64,Gazipur,Kaliganj (G),2,9.121588376,2150.584638,11.65243649,0.290191938,22.10085813,16.05091205,29.70727397,153.3109683,1.886527433,2.796594662
S99_04283,22/06/1999 00:00,26.0701,89.2379,1979,20,HTW,14.3,Lalmonirhat,Hatibandha,2,43.17497657,2722.514158,5.19837512,6,88,35.40533451,3.2165137,216.3634061,3.300846766,13.16560481
S98_04414,22/05/1998 00:00,22.326,91.816,1995,3,STW,30,Chittagong,Double Mooring,2,9.106044927,2909.636779,4.257913869,0.601025734,17.0728743,6.967576627,16.61422435,45.01468064,0.172793887,0.145726051
S98_04065,18/04/1998 00:00,24.087,89.131,1980,18,STW,20,Pabna,Ishwardi,2,16.65283512,1595.889884,9.413201778,1.018524432,51.05809441,42.52714216,26.67004465,429.3420866,3.777450985,4.164590969
S99_06300,26/06/1999 00:00,26.035,88.9379,1985,14,HTW,7.9,Nilphamari,Jaldhaka,2,49.08272943,2537.036011,3.460033073,6,88,29.4517574,2.589272783,268.8473192,3.132267515,11.96193913
S99_06105,25/05/1999 00:00,24.6176,89.8903,1992,7,HTW,18.3,Tangail,Gopalpur,2,16.73497912,1947.82508,7.123320984,5.91401324,78.61426249,35.41054398,14.92817819,368.0672961,2.476356642,5.952576086
S99_06209,12/06/1999 00:00,24.9167,89.6167,1998,1,HTW,7.9,Bogra,Sariakandi,2,14.34606049,1964.113669,6.661675148,25.43219029,71.6619069,65.3332923,7.811479965,426.6065371,2.479467205,7.941672887
S99_04208,10/06/1999 00:00,24.8342,89.1288,1973,26,HTW,19.2,Bogra,Dubchachia,2,17.84933976,1704.68012,10.79806777,0,3,51.87918819,17.72110517,354.1624985,3.484676112,7.744751186
